"","Gen","Indv","Game","Fitness","Win","Total_Minerals","Total_Gas","Custom_Score","Unit_Score","Kill_Score","Building_Score","Razing_Score","Elapsed_Time"
"1",1,1,1,NA,0,1746,0,0,200,0,550,0,624
"2",1,2,1,NA,0,1810,0,0,200,0,400,0,610
"3",1,3,1,NA,0,2426,0,0,300,0,450,0,600
"4",1,4,1,NA,0,2474,0,0,300,0,450,0,610
"5",1,5,1,NA,0,1778,0,0,200,0,400,0,598
"6",1,6,1,NA,0,1746,0,0,200,0,400,0,581
"7",1,7,1,NA,0,2514,0,0,300,0,400,0,594
"8",1,8,1,NA,0,1754,0,0,200,0,400,0,594
"9",1,9,1,NA,0,2754,0,0,350,0,450,0,596
"10",1,10,1,NA,0,1746,0,0,200,0,475,0,610
"11",1,11,1,NA,0,2058,0,0,250,0,475,0,627
"12",1,12,1,NA,0,1810,0,0,200,0,400,0,604
"13",1,13,1,NA,0,2082,0,0,250,0,475,0,608
"14",1,14,1,NA,0,1738,0,0,200,0,450,0,604
"15",1,15,1,NA,0,1706,0,0,250,0,600,0,635
"16",1,16,1,NA,0,2298,0,0,300,0,500,0,624
"17",1,17,1,NA,0,1794,0,0,200,0,400,0,593
"18",1,18,1,NA,0,1818,0,0,200,0,400,0,600
"19",1,19,1,NA,0,1738,0,0,200,0,475,0,614
"20",1,20,1,NA,0,1762,0,0,200,0,400,0,587
"21",1,21,1,NA,0,2450,0,0,300,0,475,0,602
"22",1,22,1,NA,0,1658,0,0,200,0,400,0,620
"23",1,23,1,NA,0,1994,0,0,250,0,475,0,610
"24",1,24,1,NA,0,1794,0,0,200,0,400,0,593
"25",1,25,1,NA,0,1778,0,0,200,0,400,0,594
"26",1,26,1,NA,0,1770,0,0,200,0,400,0,585
"27",1,27,1,NA,0,2162,0,0,250,0,400,0,587
"28",1,28,1,NA,0,1770,0,0,200,0,400,0,598
"29",1,29,1,NA,0,2594,0,0,600,0,550,0,622
"30",1,30,1,NA,0,2602,0,0,300,0,500,0,624
"31",1,31,1,NA,0,1618,0,0,200,0,475,0,672
"32",1,32,1,NA,0,1770,0,0,200,0,400,0,589
"33",1,33,1,NA,0,1706,0,0,200,0,475,0,608
"34",1,34,1,NA,0,4530,0,0,200,0,450,0,1505
"35",1,35,1,NA,0,1794,0,0,200,0,400,0,600
"36",1,36,1,NA,0,1618,0,0,200,0,475,0,674
"37",1,37,1,NA,0,1706,0,0,200,0,400,0,627
"38",1,38,1,NA,0,1666,0,0,200,0,500,0,627
"39",1,39,1,NA,0,1466,0,0,200,0,950,0,695
"40",1,40,1,NA,0,2162,0,0,250,0,400,0,594
"41",1,41,1,NA,0,1810,0,0,200,0,400,0,608
"42",1,42,1,NA,0,1738,0,0,200,0,450,0,600
"43",1,43,1,NA,0,1666,0,0,200,0,500,0,631
"44",1,44,1,NA,0,5682,0,0,250,0,450,0,1536
"45",1,45,1,NA,0,1770,0,0,200,0,400,0,602
"46",1,46,1,NA,0,4546,0,0,200,0,400,0,1493
"47",1,47,1,NA,0,1794,0,0,200,0,400,0,594
"48",1,48,1,NA,0,1834,0,0,200,0,400,0,612
"49",1,49,1,NA,0,2122,0,0,250,0,475,0,618
"50",1,50,1,NA,0,1794,0,0,200,0,400,0,600
"51",1,51,1,NA,0,1882,0,0,300,0,525,0,670
"52",1,52,1,NA,0,2218,0,0,350,0,625,0,656
"53",1,53,1,NA,0,1834,0,0,200,0,400,0,606
"54",1,54,1,NA,0,1802,0,0,200,0,450,0,620
"55",1,55,1,NA,0,1618,0,0,250,0,650,0,633
"56",1,56,1,NA,0,4858,0,0,200,0,400,0,1612
"57",1,57,1,NA,0,2226,0,0,250,0,400,0,606
"58",1,58,1,NA,1,3994,0,0,250,800,475,2850,1329
"59",1,59,1,NA,0,2474,0,0,400,0,525,0,625
"60",1,60,1,NA,0,4610,0,0,200,0,400,0,1517
"61",1,61,1,NA,0,4786,0,0,200,0,450,0,1586
"62",1,62,1,NA,0,1786,0,0,200,0,400,0,593
"63",1,63,1,NA,0,1706,0,0,200,0,450,0,593
"64",1,64,1,NA,0,2466,0,0,300,0,450,0,606
"65",1,65,1,NA,0,1738,0,0,250,0,475,0,622
"66",1,66,1,NA,0,1714,0,0,300,0,475,0,606
"67",1,67,1,NA,0,10726,0,0,900,0,975,1200,1664
"68",1,68,1,NA,0,2130,0,0,250,0,450,0,622
"69",1,69,1,NA,1,5634,0,0,250,600,475,4350,1871
"70",1,70,1,NA,0,1762,0,0,200,0,400,0,591
"71",1,71,1,NA,0,1810,0,0,200,0,400,0,612
"72",1,72,1,NA,0,1722,0,0,200,0,475,0,606
"73",1,73,1,NA,0,2098,0,0,250,0,475,0,608
"74",1,74,1,NA,0,1754,0,0,200,0,400,0,641
"75",1,75,1,NA,0,2090,0,0,250,0,450,0,610
"76",1,76,1,NA,0,1874,0,0,200,0,400,0,620
"77",1,77,1,NA,0,2330,0,0,300,0,625,0,662
"78",1,78,1,NA,0,1850,0,0,200,0,400,0,612
"79",1,79,1,NA,0,1794,0,0,200,0,400,0,598
"80",1,80,1,NA,0,1810,0,0,200,0,400,0,610
"81",1,81,1,NA,0,1690,0,0,200,0,575,0,633
"82",1,82,1,NA,0,1842,0,0,200,0,400,0,610
"83",1,83,1,NA,0,3250,0,0,400,0,750,0,829
"84",1,84,1,NA,0,1802,0,0,200,0,400,0,596
"85",1,85,1,NA,0,6418,0,0,300,0,400,0,1439
"86",1,86,1,NA,0,5546,0,0,250,0,600,0,1565
"87",1,87,1,NA,0,2226,0,0,250,0,400,0,608
"88",1,88,1,NA,0,1802,0,0,200,0,400,0,596
"89",1,89,1,NA,0,2130,0,0,400,0,625,0,761
"90",1,90,1,NA,0,1770,0,0,200,0,400,0,593
"91",1,91,1,NA,1,5402,0,0,300,400,550,3150,1486
"92",1,92,1,NA,0,1794,0,0,200,0,400,0,594
"93",1,93,1,NA,0,1778,0,0,200,0,400,0,591
"94",1,94,1,NA,0,2730,0,0,400,0,475,0,618
"95",1,95,1,NA,0,1770,0,0,200,0,400,0,593
"96",1,96,1,NA,0,1978,0,0,250,0,500,0,608
"97",1,97,1,NA,0,2130,0,0,250,0,475,0,612
"98",1,98,1,NA,0,2218,0,0,250,0,450,0,620
"99",1,99,1,NA,0,2250,0,0,250,0,400,0,614
"100",1,100,1,NA,0,2178,0,0,250,0,450,0,616
